Protein,Entry,Gene names  (primary ),UniqID,Intensity,Relative_concentration_ECOR2_Glu,Relative_concentration_ECOR51_Glu,Relative_concentration_NCM_Glu,Relative_concentration_ECOR63_Glu,Relative_concentration_AC_Glu,Relative_concentration_ECOR2_Ace,Relative_concentration_ECOR51_Ace,Relative_concentration_NCM_Ace,Relative_concentration_ECOR63_Ace,Relative_concentration_AC_Ace,Relative_concentration_ECOR2_Glu_log2,Relative_concentration_ECOR51_Glu_log2,Relative_concentration_NCM_Glu_log2,Relative_concentration_ECOR63_Glu_log2,Relative_concentration_AC_Glu_log2,Relative_concentration_ECOR2_Ace_log2,Relative_concentration_ECOR51_Ace_log2,Relative_concentration_NCM_Ace_log2,Relative_concentration_ECOR63_Ace_log2,Relative_concentration_AC_Ace_log2,Intensity_1,Intensity_2,Intensity_3,Intensity_4,Intensity_5,Intensity_6,Intensity_7,Intensity_8,Intensity_9,Intensity_10,massfraction_1,massfraction_2,massfraction_3,massfraction_4,massfraction_5,massfraction_6,massfraction_7,massfraction_8,massfraction_9,massfraction_10
SRP54_ECOLI,P0AGD7,ffh,98,3559502700,1.007483297,0.952830666,1.112254227,1.021795752,1.048162193,0.897694784,0.996958077,0.922579963,1.065068011,1.040219985,0.01075592,-0.06970825,0.153486582,0.031106843,0.067861977,-0.155703082,-0.004395256,-0.116254134,0.090945558,0.056888661,3586139515,3391603327,3959071925,3637084738,3730936155,3195347008,3548674965,3283925871,3791112459,3702665847,0.000658448,0.000559688,0.000709502,0.000649482,0.00065587,0.00056733,0.000586861,0.000585984,0.000650632,0.00063596
ASNA_ECOLI,P00963,asnA,44,2434720100,1.471928009,1.164491447,1.709485671,1.061114278,1.542125379,0.626957507,0.613122938,0.796823017,0.965033376,0.579335742,0.557707112,0.219700043,0.77356233,0.085580037,0.624920065,-0.673560429,-0.705751716,-0.327668774,-0.051349256,-0.787528421,3583732710,2835210731,4162119123,2583516260,3754643656,1526466044,1492782740,1940041015,2349586158,1410520375,0.000658006,0.000467871,0.00074589,0.000461344,0.000660038,0.000271022,0.000246868,0.000346181,0.000403237,0.000242267
PURR_ECOLI,P0ACP7,purR,70,2650541720,1.344486055,1.030511019,1.387048249,0.80474595,1.062596109,1.034879588,0.961271037,1.074516369,0.878375962,0.769943936,0.427054792,0.043359932,0.472017973,-0.313394683,0.087593334,0.049462914,-0.056984829,0.103687461,-0.187089521,-0.377174696,3563616382,2731412450,3676429251,2133012716,2816455317,2742991522,2547888987,2848050465,2328172133,2040768524,0.000654312,0.000450742,0.00065885,0.000380897,0.000495111,0.000487014,0.000421356,0.000508207,0.000399562,0.000350517
GLMU_ECOLI,P0ACC7,glmU,46,2745080490,1.281207073,0.551407318,1.346150114,0.996942255,1.139909475,1.156135015,0.661281292,1.114545366,1.056095637,0.921051765,0.357503668,-0.858809682,0.428839299,-0.004418151,0.188919258,0.209309888,-0.596664006,0.15645534,0.078740487,-0.118645853,3517016540,1513657470,3695290414,2736686735,3129143259,3173683674,1815270374,3059516739,2899067529,2528361231,0.000645756,0.000249786,0.00066223,0.000488696,0.000550079,0.000563483,0.0003002,0.000545941,0.000497539,0.000434264
PROQ_ECOLI,P45577,proQ,36,2110977200,1.663891692,0.938976309,1.41390923,1.04542033,1.270746632,0.846594771,0.707814776,0.802151485,1.006656977,0.743568948,0.734561527,-0.090839337,0.499689505,0.06408312,0.345676407,-0.240256518,-0.498556216,-0.318053381,0.009572162,-0.427461572,3512437426,1982157579,2984730148,2206858481,2682517167,1787142258,1494180854,1693323497,2125029926,1569657095,0.000644916,0.000327099,0.000534891,0.000394083,0.000471566,0.000317305,0.0002471,0.000302157,0.000364699,0.0002696
RL25_ECOLI,P68919,rplY,22,1973491370,1.778864305,0.683422835,1.845765456,0.741309066,1.001111482,0.850910472,0.388341541,1.047992007,0.930803657,0.742172269,0.830956463,-0.549149643,0.884219239,-0.43185294,0.001602639,-0.232920747,-1.364602053,0.067627714,-0.103451216,-0.430173999,3510573354,1348729066,3642602198,1462967044,1975684869,1679264473,766388680.4,2068203182,1836932985,1464670567,0.000644573,0.00022257,0.000652788,0.000261245,0.00034731,0.000298151,0.000126741,0.000369051,0.000315255,0.000251568
TRPE_ECOLI,P00895,trpE,44,2809864100,1.238489072,0.869611517,0.999569193,1.28665986,0.892447417,1.091089204,0.799408111,0.658871809,1.178823951,0.783686179,0.308581138,-0.201557048,-0.000621657,0.363630715,-0.164160927,0.125769057,-0.322995884,-0.601930296,0.237348278,-0.351652042,3479985981,2443490182,2808653591,3615339351,2507655958,3065812384,2246228153,1851340241,3312335101,2202051659,0.000638957,0.000403229,0.000503336,0.000645599,0.000440827,0.000544331,0.000371469,0.000330354,0.000568464,0.000378218
PPIB_ECOLI,P23869,ppiB,52,2903566350,1.192317165,1.048149225,0.874681962,0.517155014,1.115679873,1.334361599,1.124959312,1.1517511,0.71094361,1.313604902,0.253768054,0.067844127,-0.193169552,-0.951331311,0.157923127,0.416149675,0.169872823,0.203828976,-0.492192961,0.393531415,3461971999,3043370818,2539697113,1501593896,3239450536,3874407437,3266394004,3344185737,2064271943,3814138989,0.00063565,0.000502222,0.000455137,0.000268143,0.000569471,0.000687896,0.000540179,0.000596737,0.000354271,0.000655106
YCEI_ECOLI,P0A8X2,yceI,51,3268605300,1.040701224,1.768320928,0.729896323,0.448568012,1.305851935,0.942890751,1.558031892,0.716104396,0.62618231,1.298139048,0.057555943,0.82238013,-0.454236542,-1.156601353,0.384991325,-0.084837474,0.639724765,-0.481758171,-0.675345344,0.376444924,3401641537,5779943158,2385742989,1466191780,4268314557,3081937706,5092591301,2340662625,2046742816,4243104173,0.000624572,0.000953816,0.000427547,0.000261821,0.000750337,0.000547194,0.000842186,0.000417668,0.000351263,0.000728784
YEEX_ECOLI,P0A8M6,yeeX,38,3458703320,0.981828506,1.070264875,1.19102148,0.785389132,1.029722652,0.941650748,1.205272917,0.944991712,0.78363799,1.091797319,-0.026457042,0.097967887,0.252199432,-0.34852046,0.042255811,-0.086736022,0.269359861,-0.081626418,-0.351740756,0.126705059,3395853512,3701728676,4119389946,2716428000,3561505157,3256890569,4168681439,3268445973,2710371317,3776203010,0.00062351,0.000610865,0.000738232,0.000485078,0.000626085,0.000578257,0.000689394,0.000583222,0.000465155,0.00064859
YICC_ECOLI,P23839,yicC,78,3999637500,0.848085263,0.894259524,0.813804903,1.116209344,1.08768421,1.000698701,0.997474682,0.807425145,1.135771398,1.177751163,-0.23771878,-0.161234516,-0.297245123,0.158607629,0.121259756,0.001007661,-0.003647872,-0.308599579,0.183672486,0.236034757,3392033622,3576713928,3254924607,4464432750,4350342555,4002432051,3989537143,3229407888,4542673875,4710577717,0.000622808,0.000590235,0.000583312,0.000797223,0.000764757,0.000710626,0.000659768,0.000576256,0.000779616,0.000809076
YAEH_ECOLI,P62768,yaeH,58,5004466960,0.676458852,0.945004773,0.573507403,0.855398722,1.015012242,1.076508476,1.116230072,1.01555958,0.928021371,1.525410793,-0.563925915,-0.081606479,-0.802115987,-0.225331043,0.021497128,0.106359679,0.15863442,0.022274881,-0.107770065,0.609197813,3385315976,4729245163,2870098848,4280814641,5079595228,5387351101,5586136516,5082334366,4644252291,7633867916,0.000621575,0.000780428,0.000514348,0.000764434,0.000892954,0.000956517,0.000923805,0.000906893,0.000797049,0.001311172
IHFB_ECOLI,P0A6Y1,ihfB,30,4713800500,0.715792879,0.828346943,0.570024073,1.155908478,0.633155358,1.306885322,1.347136959,0.737513832,0.98819318,1.297356845,-0.482385903,-0.271692945,-0.810905247,0.209027174,-0.659368556,0.386132552,0.429896533,-0.439257987,-0.017134996,0.375575355,3374104831,3904662236,2686979760,5448721963,2984568043,6160396684,6350134873,3476493071,4658145506,6115481343,0.000619516,0.000644354,0.000481531,0.00097299,0.000524664,0.00109377,0.001050151,0.000620346,0.000799433,0.001050378
HIS7_ECOLI,P06987,hisB,41,3151126650,1.068820195,1.532168735,1.152957291,0.974534643,1.07778084,0.739209341,1.01073287,0.775412762,0.889955481,0.902168277,0.096019172,0.615575187,0.205339073,-0.037214623,0.108063845,-0.435945108,0.015401752,-0.366963616,-0.168194927,-0.148531537,3367987799,4828057732,3633114448,3070882085,3396223929,2329342254,3184947281,2443423818,2804362433,2842846502,0.000618393,0.000796734,0.000651087,0.000548374,0.00059703,0.000413572,0.00052671,0.000436005,0.000481286,0.00048828
DSBA_ECOLI,P0AEG4,dsbA,33,2357692800,1.425650484,1.142330969,0.849908701,0.342672234,1.5400932,1.479220106,1.349906539,1.068119197,0.441555625,0.912816401,0.511620331,0.191980706,-0.234620222,-1.545098796,0.623017659,0.564836739,0.432859525,0.095072654,-1.179332903,-0.131603382,3361245882,2693265502,2003823626,807915859.4,3631066649,3487546593,3182664927,2518296941,1041052517,2152140656,0.000617155,0.000444447,0.000359104,0.000144271,0.000638314,0.000619209,0.000526332,0.000449365,0.000178666,0.000369646
NUOB_ECOLI,P0AFC7,nuoB,52,5850987600,0.574318441,1.34914246,0.6375921,1.082484234,0.590688168,0.967376969,1.267458372,1.033008259,1.192823791,0.775549686,-0.80007721,0.432042694,-0.649294342,0.114346013,-0.75953138,-0.047849903,0.341938364,0.046851789,0.254380938,-0.366708885,3360330074,7893815802,3730543469,6333601832,3456109148,5660110653,7415883215,6044118513,6979197212,4537731593,0.000616987,0.001302651,0.000668547,0.001131005,0.000607557,0.001004945,0.001226399,0.001078514,0.001197773,0.000779388
LEPA_ECOLI,P60785,lepA,83,3354294550,1.001096935,1.088789777,0.722810867,1.048108099,1.101514249,0.966012193,0.933585598,1.012774111,0.992059144,1.061245312,0.001581676,0.122725426,-0.468309898,0.067787521,0.139488157,-0.049886696,-0.09914579,0.018312431,-0.011501963,0.085758181,3357973995,3652121615,2424520553,3515663286,3694803241,3240289434,3131521082,3397142681,3327658578,3559729366,0.000616555,0.000602679,0.000434496,0.000627799,0.000649518,0.000575309,0.000517874,0.000606187,0.000571094,0.000611409
TCYP_ECOLI,P77529,tcyP,32,2733174900,1.226511906,0.977193281,1.419821259,0.898538682,1.282082629,0.936038862,0.91263438,0.900979083,0.814383253,0.954757468,0.294561238,-0.033284151,0.505709321,-0.154347481,0.358489246,-0.095359666,-0.131891091,-0.150434482,-0.2962202,-0.066793795,3352271555,2670840148,3880619827,2455863373,3504156062,2558357923,2494389381,2462533416,2225851867,2609519147,0.000615508,0.000440746,0.000695443,0.000438549,0.000616004,0.000454233,0.000412509,0.000439415,0.000382002,0.000448204
SUHB_ECOLI,P0ADG4,suhB,56,2279090100,1.464921459,0.848432749,1.376668052,0.979827077,1.278775845,0.903509528,0.892588462,0.782449189,0.890625856,1.011582173,0.550823317,-0.237127786,0.461180733,-0.029400935,0.354763398,-0.14638828,-0.163932937,-0.353931026,-0.167108599,0.016613518,3338687995,1933654679,3137550529,2233114190,2914445368,2059179620,2034289528,1783272200,2029816571,2305486916,0.000613014,0.000319095,0.000562278,0.000398772,0.000512337,0.000365605,0.00033642,0.000318207,0.000348358,0.000395984
PYRC_ECOLI,P05020,pyrC,46,2880797000,1.157247663,0.652333191,1.044554331,1.070820167,1.037296588,1.162043923,0.74169918,0.953975059,1.250043741,0.946076697,0.210697649,-0.616319059,0.062887534,0.098716215,0.052828455,0.216664601,-0.43109392,-0.067976547,0.321978578,-0.07997095,3333795595,1879239500,3009148983,3084815524,2988240900,3347612647,2136684773,2748208487,3601122259,2725454910,0.000612115,0.000310115,0.000539267,0.000550862,0.00052531,0.000594364,0.000353354,0.000490391,0.000618026,0.000468117
PHOP_ECOLI,P23836,phoP,49,3782504800,0.873953731,1.364679073,1.001532421,0.903218864,1.041865076,0.822570023,1.269932771,0.898765899,1.10982215,0.918858806,-0.194371193,0.448561717,0.002209123,-0.146852478,0.059168457,-0.281789599,0.344752124,-0.153982709,0.150328502,-0.122084905,3305734182,5161905144,3788301188,3416429687,3940859651,3111375059,4803526802,3399586325,4197907610,3475587843,0.000606963,0.000851826,0.000678898,0.000610079,0.000692773,0.00055242,0.000794382,0.000606623,0.000720447,0.000596957
THIG_ECOLI,P30139,thiG,51,3836855750,0.861494562,1.118490453,0.997806551,1.790981366,0.76941685,0.641457276,1.118982755,0.670809779,1.239800894,0.343809667,-0.215086405,0.161552943,-0.003167953,0.840750327,-0.378162671,-0.640574916,0.162187802,-0.576024374,0.310108449,-1.540317985,3305430364,4291486527,3828439804,6871737154,2952141464,2461179039,4293375417,2573800358,4756937187,1319148098,0.000606907,0.000708188,0.000686091,0.001227101,0.000518964,0.000436979,0.000710015,0.00045927,0.000816388,0.000226573
TATA_ECOLI,P69428,tatA,31,2569688200,1.283758563,1.070678822,0.935826954,0.937457734,1.044647835,0.96285369,1.098501027,0.908678979,0.996037532,0.875301493,0.360373899,0.098525771,-0.095686312,-0.093174448,0.063016672,-0.054611504,0.135536219,-0.13815739,-0.005727989,-0.192148064,3298859230,2751310734,2404783481,2408974077,2684419215,2474233766,2822805127,2335021651,2559505893,2249251917,0.000605701,0.000454026,0.000430959,0.000430176,0.0004719,0.000439297,0.00046682,0.000416662,0.000439264,0.000386325
TOP1_ECOLI,P06612,topA,96,3488108700,0.944170235,0.913647392,0.99315282,0.951165169,1.080451307,1.041895891,1.023194002,0.899635811,0.986802744,1.198968457,-0.082881092,-0.130290608,-0.009912368,-0.07223221,0.111634055,0.059211127,0.033079712,-0.152587004,-0.019166368,0.261793704,3293368411,3186901416,3464224991,3317767500,3768731604,3634246121,3569011900,3138027500,3442075236,4182132304,0.000604692,0.000525908,0.000620821,0.000592461,0.000662514,0.000645256,0.000590224,0.00055995,0.00059073,0.000718312
NIFJ_ECOLI,P52647,ydbK,79,2463923500,1.329019677,0.42424033,1.366013199,0.668743693,1.616171,1.242922486,0.59377659,1.025916857,0.681470083,1.608389632,0.410362465,-1.23704632,0.449971423,-0.580474715,0.692579851,0.313736326,-0.752007879,0.036913816,-0.553277771,0.685616941,3274602814,1045295718,3365752022,1647733300,3982121707,3062465921,1463020094,2527780653,1679090153,3962949011,0.000601247,0.000172496,0.000603174,0.000294239,0.000700026,0.000543737,0.000241946,0.000451058,0.000288166,0.000680665
YFIA_ECOLI,P0AD49,raiA,25,2833574400,1.149668194,0.66824009,0.293807494,0.332514121,0.617359182,2.844403062,0.879565299,1.311123426,0.327413662,1.49169915,0.201217545,-0.581561557,-1.7670569,-1.588512487,-0.695817996,1.508125915,-0.185137408,0.390803504,-1.610813572,0.576956599,3257670364,1893508012,832525393.6,942203500,1749333173,8059827701,2492313714,3715165775,927750971.1,4226840525,0.000598138,0.00031247,0.000149196,0.000168251,0.000307519,0.001431012,0.000412166,0.000662935,0.000159221,0.000725991
FLAV_ECOLI,P61949,fldA,16,1754783500,1.846604051,1.031789612,1.192821898,0.494747642,1.421863913,1.137481662,0.959402718,0.925538526,0.645666696,1.251307903,0.884874556,0.045148827,0.254378649,-1.015235263,0.507783391,0.185843287,-0.059791567,-0.111635051,-0.631138482,0.323436829,3240390319,1810567387,2093144186,868174999.1,2495063334,1996034051,1683544060,1624119733,1133005264,2195774461,0.000594965,0.000298783,0.000375111,0.000155032,0.000438613,0.000354393,0.000278416,0.000289808,0.000194447,0.00037714
BIOB_ECOLI,P12996,bioB,51,1917074500,1.67511846,0.954972029,2.471309084,0.731266508,1.87559602,0.575813237,0.693005346,0.861552781,0.683488102,0.606047571,0.744263123,-0.066469618,1.305275458,-0.451530807,0.907349123,-0.796327141,-0.529061613,-0.214988912,-0.549011871,-0.722497055,3211326884,1830752524,4737683626,1401892375,3595657302,1103876873,1328542878,1651660867,1310297611,1161838344,0.000589629,0.000302114,0.000849036,0.000250339,0.000632089,0.000195992,0.000219707,0.000294723,0.000224874,0.000199554
PURE_ECOLI,P0AG18,purE,32,3048989250,1.052645957,0.794302665,1.158413204,1.034339131,0.941388231,1.173928109,0.887367573,1.037586309,1.067619793,0.916018891,0.074020287,-0.33223925,0.212149952,0.048709283,-0.087138277,0.231344062,-0.172396261,0.053231348,0.094397957,-0.126550744,3209506206,2421820288,3531989405,3153688891,2870282598,3579294186,2705574191,3163589502,3255161272,2792931751,0.000589295,0.000399653,0.000632965,0.000563161,0.000504574,0.000635499,0.000447433,0.000564512,0.000558652,0.000479706
FABH_ECOLI,P0A6R0,fabH,52,3720108200,0.862551958,1.023108915,0.96653525,1.209294615,0.925905604,0.920771988,0.991100528,0.840837834,1.182648274,0.904092408,-0.213316731,0.032959735,-0.049105746,0.274165765,-0.111062977,-0.119084151,-0.012896696,-0.250100508,0.242021072,-0.145457856,3208786612,3806075863,3595615709,4498706815,3444469029,3425371424,3687001203,3128007723,4399579542,3363321581,0.000589163,0.000628085,0.000644367,0.000803344,0.000605511,0.00060817,0.000609737,0.000558162,0.000755058,0.000577675
SDHB_ECOLI,P07014,sdhB,103,7883167720,0.406682598,1.506387485,0.671858096,1.141020748,0.453054507,0.770966488,1.21755975,1.058686748,1.290542643,0.674654732,-1.298024835,0.59109292,-0.573771543,0.190325026,-1.142243464,-0.375259944,0.283992572,0.082275777,0.367977813,-0.567778732,3205947130,11875105199,5296370057,8994857932,3571504663,6077658130,9598227717,8345805196,10173564103,5318416406,0.000588641,0.00195965,0.000949158,0.001606231,0.000627843,0.00107908,0.001587304,0.001489227,0.001745992,0.000913477
YEAG_ECOLI,P0ACY3,yeaG,125,7660754590,0.417413304,1.313343716,0.200247949,0.351776807,0.763565414,1.640127238,1.924245105,1.040978392,0.350773398,1.766616707,-1.260451513,0.393244534,-2.320140627,-1.507267727,-0.389176338,0.713807741,0.944292578,0.057940123,-1.511388755,0.82098906,3197700882,10061203902,1534050396,2694875789,5849487250,12564612268,14741169523,7974679998,2687188918,13533617048,0.000587127,0.001660317,0.000274916,0.00048123,0.001028295,0.00223083,0.002437816,0.001423004,0.000461177,0.002324497
CPOB_ECOLI,P45955,cpoB,52,3189030833,1.001188467,1.225274584,0.928906974,0.87961395,1.022297744,0.928933768,1.310830087,0.73451486,0.905897056,1.178612879,0.001713578,0.293105094,-0.106393971,-0.18505761,0.031815442,-0.106352358,0.390480692,-0.445136417,-0.142580981,0.237089936,3192820892,3907438429,2962312981,2805116009,3260139026,2962398427,4180277564,2342390535,2888933642,3758632812,0.000586231,0.000644812,0.000530874,0.000500915,0.000573107,0.00052597,0.000691312,0.000417977,0.0004958,0.000645573
NDK_ECOLI,P0A763,ndk,19,3804665950,0.839016835,0.938784406,0.990895945,1.18897089,0.536056897,0.981813061,0.88425642,1.667964011,1.105679771,0.44253116,-0.253228335,-0.091134217,-0.013194528,0.249713393,-0.89954196,-0.026479736,-0.177463307,0.73808816,0.14493361,-1.176149051,3192178785,3571761065,3770028063,4523637059,2039517422,3735470721,3364300291,6346045877,4206742176,1683683236,0.000586113,0.000589418,0.000675623,0.000807795,0.000358532,0.000663228,0.00055637,0.00113239,0.000721963,0.000289185
PFKB_ECOLI,P06999,pfkB,64,3993098700,0.798783741,0.944945739,0.447875613,0.674495278,1.278139916,1.359902365,1.128952674,0.599172897,0.739524511,2.212068132,-0.324123128,-0.081696607,-1.158829982,-0.568119751,0.354045774,0.443503076,0.174985009,-0.738955728,-0.43533013,1.145395822,3189622316,3773261600,1788411528,2693326219,5103738837,5430224364,4508019454,2392556518,2952994364,8833006384,0.000585644,0.00062267,0.0003205,0.000480953,0.000897198,0.000964129,0.000745512,0.000426928,0.000506794,0.001517133
SYGA_ECOLI,P00960,glyQ,35,2735203400,1.165524358,0.918005721,1.14623153,0.974899403,1.058279583,1.005661903,1.014841247,0.964605507,0.975591678,0.956803558,0.220979155,-0.123424951,0.196898487,-0.036674736,0.081720818,0.008145362,0.021254062,-0.051989049,-0.035650643,-0.063705341,3187946185,2510932368,3135176379,2666548161,2894609913,2750689857,2775797229,2638392261,2668441675,2617052345,0.000585336,0.000414358,0.000561852,0.000476171,0.00050885,0.000488381,0.000459047,0.000470795,0.000457959,0.000449498
MTOX_ECOLI,P40874,solA,55,2509519500,1.263804392,0.990226327,1.20860074,0.949623907,0.842667573,1.029528938,0.852116289,0.952398061,1.220826257,0.769772405,0.337773184,-0.014169788,0.27333773,-0.074571839,-0.246964485,0.041984382,-0.230877765,-0.070363412,0.287857896,-0.377496142,3171541765,2484992277,3033007125,2383099713,2114690707,2583622946,2138402444,2390061505,3063687297,1931758860,0.000582324,0.000410078,0.000543543,0.000425555,0.000371746,0.000458719,0.000353638,0.000426483,0.000525791,0.000331794
GSHB_ECOLI,P04425,gshB,43,3852940800,0.82008307,1.068409603,0.899355562,1.112620061,1.127054598,0.79385835,0.970174817,0.819416195,1.241667466,0.881541282,-0.286158041,0.095464848,-0.153036494,0.153961023,0.172557406,-0.333046488,-0.043683364,-0.287331688,0.312278853,-0.181899963,3159731519,4116518950,3465163739,4286859228,4342474646,3058689226,3738026134,3157162091,4784071238,3396526373,0.000580156,0.000679315,0.000620989,0.000765514,0.000763374,0.000543066,0.000618175,0.000563365,0.000821044,0.000583378
PTND_ECOLI,P69805,manZ,44,2965322650,1.061866233,0.787650715,1.402066367,0.720902874,1.335426617,1.091405877,0.88100227,0.882146131,0.653058231,1.532014455,0.086602036,-0.344372088,0.487554641,-0.472123195,0.4173007,0.126187717,-0.182782358,-0.180910432,-0.614716458,0.61542991,3148775992,2335638507,4157579155,2137709620,3959970794,3236370566,2612455987,2615847901,1936528364,4542917164,0.000578144,0.000385431,0.000745076,0.000381735,0.000696133,0.000574613,0.000432034,0.000466772,0.000332348,0.000780279
YAJC_ECOLI,P0ADZ7,yajC,24,3296218300,0.954410767,1.171525672,0.858191878,1.048371843,0.889605953,0.953775955,1.122591753,0.91339817,1.146104431,0.745913339,-0.067317777,0.228388568,-0.220627848,0.068150511,-0.168761652,-0.068277682,0.166833365,-0.130684196,0.196738506,-0.422920068,3145946235,3861604358,2828787772,3455662453,2932335423,3143853757,3700307479,3010759762,3777810398,2458693199,0.000577624,0.000637248,0.000506945,0.000617085,0.000515482,0.000558187,0.000611937,0.000537241,0.00064835,0.000422298
YFBU_ECOLI,P0A8W8,yfbU,36,2526850800,1.238076567,0.875494873,1.104790009,0.986102116,1.21640131,1.071342218,1.007209024,0.986420286,0.92304006,0.768933821,0.308100539,-0.191829364,0.143772178,-0.020191041,0.282619275,0.099419393,0.010363115,-0.019725626,-0.115534833,-0.379068657,3128434765,2212244921,2791639518,2491732922,3073664623,2707121941,2545066929,2492536888,2332384513,1942981042,0.000574409,0.000365068,0.000500287,0.000444954,0.000540327,0.000480646,0.00042089,0.000444769,0.000400285,0.000333721
TRPC_ECOLI,P00909,trpC,49,2358758970,1.315286761,0.962787593,0.925830086,1.000477056,0.918027396,1.230591372,1.013867374,0.810994987,1.139180394,0.889531333,0.395377372,-0.054710544,-0.111180649,0.000688082,-0.123390887,0.299351783,0.019868943,-0.302235099,0.187996222,-0.168882671,3102444445,2270983872,2183810021,2359884230,2165405355,2902668438,2391468763,1912941699,2687051974,2098190011,0.000569637,0.000374762,0.000391359,0.00042141,0.000380662,0.000515365,0.000395488,0.000341346,0.000461153,0.000360379
TSX_ECOLI,P0A927,tsx,50,3981001050,0.777956491,1.983706197,0.877159255,1.021639014,0.651351814,0.629606291,1.687470221,0.572077099,1.117510569,0.511563197,-0.362238623,0.988198367,-0.189089296,0.030885524,-0.6184911,-0.667478139,0.754862043,-0.805718504,0.160288476,-0.967015618,3097045608,7897136453,3491971915,4067145988,2593032254,2506463304,6717820722,2277439530,4448810749,2036533625,0.000568646,0.001303199,0.000625793,0.000726279,0.000455835,0.000445019,0.001110957,0.000406387,0.000763507,0.000349789
PHOL_ECOLI,P0A9K3,ybeZ,68,3252711000,0.94340337,1.036313646,0.884111872,0.89925614,1.004240011,1.012914476,1.084767092,0.787994602,0.956900732,1.440318084,-0.08405334,0.051460709,-0.177699161,-0.153195989,0.006104111,0.018512367,0.117385317,-0.343742348,-0.063558826,0.526387456,3068618519,3370828797,2875760411,2925020340,3266502530,3294718057,3528433851,2563118709,3112521537,4684938476,0.000563426,0.00055626,0.000515363,0.000522327,0.000574226,0.000584973,0.000583514,0.000457363,0.000534172,0.000804672
PRC_ECOLI,P23865,prc,102,3419183100,0.892035455,1.299013127,0.923733188,0.888468636,1.171688144,0.825857816,1.257741314,0.841307505,0.954344291,1.061883231,-0.164827042,0.37741601,-0.114451893,-0.170607246,0.228588634,-0.276034674,0.330835227,-0.249294881,-0.067418265,0.08662513,3050032553,4441563731,3158412905,3037836945,4006216301,2823759087,4300447846,2876584403,3263077872,3630773196,0.000560014,0.000732954,0.000566016,0.000542473,0.000704262,0.000501355,0.000711185,0.000513298,0.000560011,0.000623612
F16PA_ECOLI,P0A993,fbp,53,2928514300,1.032146187,0.902690277,0.81028143,0.903909801,0.923059305,1.059446917,1.057554295,1.246766514,1.095567905,0.952976926,0.04564732,-0.147697027,-0.303505018,-0.145749279,-0.115504754,0.083311305,0.080731733,0.318191312,0.131678908,-0.069486812,3022654869,2643541384,2372920754,2647112777,2703192374,3102605448,3097062876,3651173565,3208386278,2790806555,0.000554987,0.000436242,0.000425249,0.000472701,0.0004752,0.000550863,0.000512176,0.000651516,0.000550625,0.000479341
NLPA_ECOLI,P04846,nlpA,56,4852840300,0.620860542,1.134358107,0.755027183,1.113007438,1.297320956,0.619766083,1.145623034,0.531936422,0.991491314,1.719759763,-0.687658848,0.181876159,-0.405399509,0.154463234,0.375535445,-0.69020429,0.196132405,-0.910674273,-0.012327961,0.782207046,3012937061,5504858737,3664026339,5401247351,6295691417,3007625825,5559525629,2581402505,4811549007,8345719484,0.000553203,0.000908421,0.000656627,0.000964512,0.001106734,0.000534,0.000919405,0.000460626,0.00082576,0.001433438
NUSB_ECOLI,P0A780,nusB,43,2569146900,1.17059993,0.903052597,1.089367467,0.84641793,0.978173434,1.119056732,0.982957034,1.098458551,0.992292844,0.995660196,0.227248098,-0.147118076,0.123490688,-0.240557906,-0.031837811,0.162283178,-0.024799738,0.135480433,-0.011162146,-0.006274639,3007443181,2320074781,2798745051,2174572001,2513071247,2875021135,2525361018,2822101382,2549346083,2557997306,0.000552194,0.000382863,0.000501561,0.000388318,0.000441779,0.000510456,0.000417631,0.000503576,0.00043752,0.000439355
RBFA_ECOLI,P0A7G2,rbfA,48,2701440350,1.111439732,1.201892408,0.993484543,0.754256507,1.35441711,0.890391119,1.158344994,0.971379877,0.887480356,0.926219727,0.15242972,0.265307753,-0.009430573,-0.406872858,0.437672103,-0.167488891,0.212065001,-0.041892494,-0.172212909,-0.11057361,3002488138,3246840646,2683839233,2037578961,3658877030,2405338497,3129199907,2624124796,2397475243,2502127345,0.000551284,0.000535799,0.000480969,0.000363855,0.000643203,0.000427065,0.00051749,0.000468249,0.000411456,0.000429759
GALF_ECOLI,P0AAB6,galF,48,2023860100,1.460330383,1.661653629,0.162560439,0.146757333,1.570285201,1.557697302,1.795790873,0.203143588,0.105767974,1.641132773,0.546294799,0.732619684,-2.620951889,-2.768495501,0.651026611,0.63941491,0.844619352,-2.299428267,-3.241025242,0.714691962,2955504394,3362954480,328999586.9,297016311,3178037564,3152561417,3634429496,411134202.2,214059582.4,3321423138,0.000542658,0.00055496,5.90E-05,5.30E-05,0.000558675,0.000559733,0.000601043,7.34E-05,3.67E-05,0.000570479
OSME_ECOLI,P0ADB1,osmE,23,4417674600,0.667558759,1.060763818,0.281320038,0.587194323,0.972607874,1.400973888,1.438998929,0.609433934,0.625591463,2.142017419,-0.583033265,0.085103472,-1.829715778,-0.768090074,-0.040069824,0.486430066,0.525065518,-0.714458262,-0.676707269,1.098970212,2949057375,4686109377,1242780386,2594033447,4296665100,6189046760,6357029016,2692280810,2763659518,9462735943,0.000541474,0.00077331,0.000222718,0.000463222,0.000755321,0.001098857,0.001051291,0.000480411,0.0004743,0.001625294
