gene_name,b_number,condition,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,dataset_name,strain,mass_frac
ybha,b0766,M9_glucose,poorly characterized,general function prediction only,R,"pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase",0.6931471805599453,Soufi et al. 2015,BW25113,0.0001225804915604362
pgl,b0767,M9_glucose,metabolism,carbohydrate transport and metabolism,G,6PGLUCONOLACT-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0009736222526881493
ybhc,b0772,M9_glucose,metabolism,carbohydrate transport and metabolism,G,outer membrane lipoprotein YhbC,0.6931471805599453,Soufi et al. 2015,BW25113,0.0004885343947817209
ybhb,b0773,M9_glucose,poorly characterized,general function prediction only,R,putative kinase inhibitor,0.6931471805599453,Soufi et al. 2015,BW25113,7.74802531205394e-05
bioa,b0774,M9_glucose,metabolism,coenzyme transport and metabolism,H,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00027682444593359745
biob,b0775,M9_glucose,metabolism,coenzyme transport and metabolism,H,biotin synthase,0.6931471805599453,Soufi et al. 2015,BW25113,4.39718345546952e-05
biof,b0776,M9_glucose,metabolism,coenzyme transport and metabolism,H,8-amino-7-oxononanoate synthase,0.6931471805599453,Soufi et al. 2015,BW25113,7.439006550603094e-05
biod,b0778,M9_glucose,metabolism,coenzyme transport and metabolism,H,dethiobiotin synthetase,0.6931471805599453,Soufi et al. 2015,BW25113,9.793699927283924e-05
uvrb,b0779,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,excision nuclease subunit B,0.6931471805599453,Soufi et al. 2015,BW25113,0.0002692472034323687
ybhk,b0780,M9_glucose,metabolism,carbohydrate transport and metabolism,G,putative transferase YbhK,0.6931471805599453,Soufi et al. 2015,BW25113,8.787156477464318e-06
moaa,b0781,M9_glucose,metabolism,coenzyme transport and metabolism,H,"GTP 3',8'-cyclase",0.6931471805599453,Soufi et al. 2015,BW25113,1.3010840299899845e-05
moab,b0782,M9_glucose,metabolism,coenzyme transport and metabolism,H,protein MoaB,0.6931471805599453,Soufi et al. 2015,BW25113,0.00017866043859435235
moac,b0783,M9_glucose,metabolism,coenzyme transport and metabolism,H,cyclic pyranopterin monophosphate synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00012192814947563684
moae,b0785,M9_glucose,metabolism,coenzyme transport and metabolism,H,molybdopterin synthase catalytic subunit,0.6931471805599453,Soufi et al. 2015,BW25113,8.756291563551684e-05
ybhl,b0786,M9_glucose,poorly characterized,general function prediction only,R,Bax1-I family protein YbhL,0.6931471805599453,Soufi et al. 2015,BW25113,1.1290064190171582e-05
clsb,b0789,M9_glucose,metabolism,lipid transport and metabolism,I,cardiolipin synthase B,0.6931471805599453,Soufi et al. 2015,BW25113,2.4275704545134036e-06
ybhp,b0790,M9_glucose,poorly characterized,general function prediction only,R,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,0.6931471805599453,Soufi et al. 2015,BW25113,7.167942414297878e-06
ybhr,b0792,M9_glucose,cellular processes and signaling,defense mechanisms,V,putative ABC exporter membrane subunit YbhR,0.6931471805599453,Soufi et al. 2015,BW25113,3.5000860610985666e-06
ybhf,b0794,M9_glucose,cellular processes and signaling,defense mechanisms,V,putative ABC exporter ATP binding subunit,0.6931471805599453,Soufi et al. 2015,BW25113,2.6682387084237167e-05
ybhg,b0795,M9_glucose,cellular processes and signaling,defense mechanisms,V,HlyD_D23 family protein YbhG,0.6931471805599453,Soufi et al. 2015,BW25113,7.815323036676186e-05
cecr,b0796,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator CecR,0.6931471805599453,Soufi et al. 2015,BW25113,7.681707579203188e-06
rhle,b0797,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,ATP-dependent RNA helicase RhlE,0.6931471805599453,Soufi et al. 2015,BW25113,7.959989813636923e-06
ybib,b0800,M9_glucose,metabolism,amino acid transport and metabolism,E,nonspecific DNA-binding protein YbiB,0.6931471805599453,Soufi et al. 2015,BW25113,0.00018584688205241297
hcxb,b0801,M9_glucose,metabolism,energy production and conversion,C,hydroxycarboxylate dehydrogenase B,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007439940153607107
ybij,b0802,M9_glucose,Not Assigned,Not Assigned,Not Assigned,DUF1471 domain-containing protein YbiJ,0.6931471805599453,Soufi et al. 2015,BW25113,7.294035612359464e-06
ybix,b0804,M9_glucose,poorly characterized,general function prediction only,R,PKHD-type hydroxylase YbiX,0.6931471805599453,Soufi et al. 2015,BW25113,0.00025292073703367146
fiu,b0805,M9_glucose,metabolism,inorganic ion transport and metabolism,P,putative iron siderophore outer membrane transporter,0.6931471805599453,Soufi et al. 2015,BW25113,0.0026832212200193074
rlmf,b0807,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA m6A1618 methyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
ybio,b0808,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,moderate conductance mechanosensitive channel YbiO,0.6931471805599453,Soufi et al. 2015,BW25113,7.098205961172386e-06
glnq,b0809,M9_glucose,metabolism,amino acid transport and metabolism,E,L-glutamine ABC transporter ATP binding subunit,0.6931471805599453,Soufi et al. 2015,BW25113,0.0001591798337120234
glnh,b0811,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,L-glutamine ABC transporter periplasmic binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.0010147803320241042
dps,b0812,M9_glucose,metabolism,inorganic ion transport and metabolism,P,DNA protection during starvation protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.001592968613875869
ompx,b0814,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,outer membrane protein X,0.6931471805599453,Soufi et al. 2015,BW25113,0.0022401867792585036
opge,b0815,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,G6418-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,1.9784016251186188e-06
ldtb,b0819,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,"L,D-transpeptidase LdtB",0.6931471805599453,Soufi et al. 2015,BW25113,0.0009901552725191363
ybit,b0820,M9_glucose,poorly characterized,general function prediction only,R,putative ATP-binding protein YbiT,0.6931471805599453,Soufi et al. 2015,BW25113,0.00021842860179713676
ybiu,b0821,M9_glucose,Not Assigned,Not Assigned,Not Assigned,DUF1479 domain-containing protein YbiU,0.6931471805599453,Soufi et al. 2015,BW25113,2.5524404592112497e-05
ybiv,b0822,M9_glucose,poorly characterized,general function prediction only,R,sugar phosphatase YbiV,0.6931471805599453,Soufi et al. 2015,BW25113,0.00014200988957656168
fsaa,b0825,M9_glucose,metabolism,carbohydrate transport and metabolism,G,fructose-6-phosphate aldolase 1,0.6931471805599453,Soufi et al. 2015,BW25113,1.4358958612924505e-05
moeb,b0826,M9_glucose,metabolism,coenzyme transport and metabolism,H,molybdopterin-synthase adenylyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
moea,b0827,M9_glucose,metabolism,coenzyme transport and metabolism,H,molybdopterin molybdotransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
iaaa,b0828,M9_glucose,metabolism,amino acid transport and metabolism,E,"&beta; cleavage product of IaaA // ""&alpha; cleavage product of IaaA"" // ""isoaspartyl dipeptidase proenzyme""",0.6931471805599453,Soufi et al. 2015,BW25113,3.308903480459156e-05
gsia,b0829,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,glutathione ABC transporter ATP binding subunit GsiA,0.6931471805599453,Soufi et al. 2015,BW25113,5.1466180949037646e-05
gsib,b0830,M9_glucose,metabolism,amino acid transport and metabolism,E,glutathione ABC transporter periplasmic binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.00017562468813608336
gsic,b0831,M9_glucose,metabolism,inorganic ion transport and metabolism,P,glutathione ABC transporter membrane subunit GsiC,0.6931471805599453,Soufi et al. 2015,BW25113,4.303069812836705e-05
pdei,b0833,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,putative c-di-GMP phosphodiesterase PdeI,0.6931471805599453,Soufi et al. 2015,BW25113,6.338951041578395e-06
rimo,b0835,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,ribosomal protein S12 methylthiotransferase RimO,0.6931471805599453,Soufi et al. 2015,BW25113,0.00013041692631090958
ylii,b0837,M9_glucose,metabolism,carbohydrate transport and metabolism,G,aldose sugar dehydrogenase YliI,0.6931471805599453,Soufi et al. 2015,BW25113,5.5534698126128525e-06
gstb,b0838,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,glutathione S-transferase GstB,0.6931471805599453,Soufi et al. 2015,BW25113,0.00011516416768968982
dacc,b0839,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,D-alanyl-D-alanine carboxypeptidase DacC,0.6931471805599453,Soufi et al. 2015,BW25113,0.00013305168796642634
deor,b0840,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional repressor DeoR,0.6931471805599453,Soufi et al. 2015,BW25113,1.0824023694092732e-05
ybji,b0844,M9_glucose,poorly characterized,general function prediction only,R,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,2.212372368765901e-05
ybjl,b0847,M9_glucose,poorly characterized,general function prediction only,R,putative transport protein YbjL,0.6931471805599453,Soufi et al. 2015,BW25113,1.2826199507051649e-05
grxa,b0849,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,"oxidized glutaredoxin 1 // ""reduced glutaredoxin 1""",0.6931471805599453,Soufi et al. 2015,BW25113,1.3301466635052117e-05
nfsa,b0851,M9_glucose,metabolism,energy production and conversion,C,NADPH-dependent nitroreductase NfsA,0.6931471805599453,Soufi et al. 2015,BW25113,0.00024572417538880413
ybjn,b0853,M9_glucose,Not Assigned,Not Assigned,Not Assigned,protein YbjN,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
potf,b0854,M9_glucose,metabolism,amino acid transport and metabolism,E,putrescine ABC transporter periplasmic binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007474024814531244
potg,b0855,M9_glucose,metabolism,amino acid transport and metabolism,E,putrescine ABC transporter ATP binding subunit,0.6931471805599453,Soufi et al. 2015,BW25113,5.107953492031935e-05
poth,b0856,M9_glucose,metabolism,amino acid transport and metabolism,E,putrescine ABC transporter membrane subunit PotH,0.6931471805599453,Soufi et al. 2015,BW25113,7.086361169331563e-06
ybjp,b0865,M9_glucose,Not Assigned,Not Assigned,Not Assigned,DUF3828 domain-containing lipoprotein YbjP,0.6931471805599453,Soufi et al. 2015,BW25113,9.409629039994849e-05
ybjs,b0868,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,putative NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain,0.6931471805599453,Soufi et al. 2015,BW25113,5.313221099372453e-06
ybjt,b0869,M9_glucose,poorly characterized,general function prediction only,R,putative NAD(P)-dependent oxidoreductase YbjT,0.6931471805599453,Soufi et al. 2015,BW25113,3.432568936651766e-06
ltae,b0870,M9_glucose,metabolism,amino acid transport and metabolism,E,low-specificity L-threonine aldolase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0003309978749561265
poxb,b0871,M9_glucose,metabolism,amino acid transport and metabolism,E,pyruvate oxidase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005648297910446948
ybjd,b0876,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,DUF2813 domain-containing protein YbjD,0.6931471805599453,Soufi et al. 2015,BW25113,6.536267593972962e-05
ybjx,b0877,M9_glucose,poorly characterized,function unknown,S,DUF535 domain-containing protein YbjX,0.6931471805599453,Soufi et al. 2015,BW25113,2.3592792471434286e-05
maca,b0878,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,ABC-type tripartite efflux pump membrane fusion protein,0.6931471805599453,Soufi et al. 2015,BW25113,4.29526917827881e-05
macb,b0879,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,ABC-type tripartite efflux pump ATP binding/membrane subunit,0.6931471805599453,Soufi et al. 2015,BW25113,1.7390430392477823e-05
cspd,b0880,M9_glucose,information storage and processing,transcription,K,DNA replication inhibitor,0.6931471805599453,Soufi et al. 2015,BW25113,2.9706296547749745e-05
clps,b0881,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,specificity factor for ClpA-ClpP chaperone-protease complex,0.6931471805599453,Soufi et al. 2015,BW25113,7.86307881867679e-06
clpa,b0882,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,ATP-dependent Clp protease ATP-binding subunit ClpA,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005619492276026099
infa,b0884,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,translation initiation factor IF-1,0.6931471805599453,Soufi et al. 2015,BW25113,0.0004942879219820825
cydc,b0886,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,glutathione/L-cysteine ABC exporter subunit CydC,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
cydd,b0887,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,glutathione/L-cysteine ABC exporter subunit CydD,0.6931471805599453,Soufi et al. 2015,BW25113,5.105572896757765e-05
trxb,b0888,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,thioredoxin reductase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0034379741000422175
ftsk,b0890,M9_glucose,Not Assigned,Not Assigned,Not Assigned,cell division DNA translocase FtsK,0.6931471805599453,Soufi et al. 2015,BW25113,7.92249621228716e-05
lola,b0891,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,outer membrane lipoprotein carrier protein,0.6931471805599453,Soufi et al. 2015,BW25113,9.211224275979854e-05
rara,b0892,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,recombination factor,0.6931471805599453,Soufi et al. 2015,BW25113,4.174954501222387e-05
sers,b0893,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,serine&mdash;tRNA ligase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0006253190836454924
ycac,b0897,M9_glucose,poorly characterized,general function prediction only,R,putative hydrolase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0006760762262187158
ycak,b0901,M9_glucose,poorly characterized,general function prediction only,R,putative NAD(P)H-dependent oxidoreductase YcaK,0.6931471805599453,Soufi et al. 2015,BW25113,1.056024421838318e-05
pflb,b0903,M9_glucose,metabolism,energy production and conversion,C,pyruvate formate-lyase,0.6931471805599453,Soufi et al. 2015,BW25113,0.005219397805353614
foca,b0904,M9_glucose,metabolism,inorganic ion transport and metabolism,P,formate channel FocA,0.6931471805599453,Soufi et al. 2015,BW25113,1.4167467911610825e-05
ycao,b0905,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,ribosomal protein S12 methylthiotransferase accessory factor YcaO,0.6931471805599453,Soufi et al. 2015,BW25113,6.302485048009166e-05
serc,b0907,M9_glucose,metabolism,amino acid transport and metabolism,E,phosphoserine/phosphohydroxythreonine aminotransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.004918874607696714
cmk,b0910,M9_glucose,metabolism,nucleotide transport and metabolism,F,cytidylate kinase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00012703067587573663
rpsa,b0911,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,30S ribosomal subunit protein S1,0.6931471805599453,Soufi et al. 2015,BW25113,0.008028402038269494
ihfb,b0912,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,integration host factor subunit &beta;,0.6931471805599453,Soufi et al. 2015,BW25113,0.000318801751843515
msba,b0914,M9_glucose,cellular processes and signaling,defense mechanisms,V,ATP-binding lipopolysaccharide transport protein,0.6931471805599453,Soufi et al. 2015,BW25113,2.4889914425729414e-05
kdsb,b0918,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,3-deoxy-manno-octulosonate cytidylyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,1.8394411142373334e-05
elyc,b0920,M9_glucose,poorly characterized,general function prediction only,R,envelope biogenesis factor,0.6931471805599453,Soufi et al. 2015,BW25113,6.88355028097981e-06
cmom,b0921,M9_glucose,metabolism,coenzyme transport and metabolism,H,tRNA <b>cmo</b>5U34 methyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,1.065126187865085e-06
mukf,b0922,M9_glucose,cellular processes and signaling,"cell cycle control, cell division, chromosome partitioning",D,chromosome partitioning protein MukF,0.6931471805599453,Soufi et al. 2015,BW25113,5.6407429612625785e-05
muke,b0923,M9_glucose,cellular processes and signaling,"cell cycle control, cell division, chromosome partitioning",D,chromosome partitioning protein MukE,0.6931471805599453,Soufi et al. 2015,BW25113,2.8003268364148357e-05
mukb,b0924,M9_glucose,cellular processes and signaling,"cell cycle control, cell division, chromosome partitioning",D,chromosome partitioning protein MukB,0.6931471805599453,Soufi et al. 2015,BW25113,0.00041034056790388904
ldtd,b0925,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,"L,D-transpeptidase LdtD",0.6931471805599453,Soufi et al. 2015,BW25113,5.302951753958464e-05
mepk,b0926,M9_glucose,poorly characterized,function unknown,S,peptidoglycan LD-endopeptidase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
gloc,b0927,M9_glucose,poorly characterized,general function prediction only,R,hydroxyacylglutathione hydrolase GloC,0.6931471805599453,Soufi et al. 2015,BW25113,5.899848975583329e-05
ompf,b0929,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,outer membrane porin F,0.6931471805599453,Soufi et al. 2015,BW25113,0.004953904730526325
pncb,b0931,M9_glucose,metabolism,coenzyme transport and metabolism,H,NICOTINATEPRIBOSYLTRANS-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0001678782155959223
pepn,b0932,M9_glucose,metabolism,amino acid transport and metabolism,E,aminopeptidase N,0.6931471805599453,Soufi et al. 2015,BW25113,0.0016958680514804648
ssub,b0933,M9_glucose,metabolism,inorganic ion transport and metabolism,P,aliphatic sulfonate ABC transporter ATP binding subunit,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
elfg,b0941,M9_glucose,cellular processes and signaling,cell motility,N,putative fimbrial-like adhesin protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
pyrd,b0945,M9_glucose,metabolism,nucleotide transport and metabolism,F,"dihydroorotate dehydrogenase, type 2",0.6931471805599453,Soufi et al. 2015,BW25113,0.0003023340572265519
ycbx,b0947,M9_glucose,poorly characterized,general function prediction only,R,6-N-hydroxylaminopurine resistance protein,0.6931471805599453,Soufi et al. 2015,BW25113,1.910363700485768e-05
rlml,b0948,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,fused 23S rRNA m2G2445 methyltransferase and 23S rRNA m7G2069 methyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,7.986504057999822e-05
uup,b0949,M9_glucose,poorly characterized,general function prediction only,R,ATP-binding protein Uup,0.6931471805599453,Soufi et al. 2015,BW25113,0.00016788426317752739
pqib,b0951,M9_glucose,poorly characterized,function unknown,S,intermembrane transport protein PqiB,0.6931471805599453,Soufi et al. 2015,BW25113,2.1380602420190337e-05
pqic,b0952,M9_glucose,poorly characterized,function unknown,S,intermembrane transport lipoprotein PqiC,0.6931471805599453,Soufi et al. 2015,BW25113,3.256145282139738e-05
rmf,b0953,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,ribosome modulation factor,0.6931471805599453,Soufi et al. 2015,BW25113,6.427499010513924e-07
ycbz,b0955,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,putative ATP-dependent protease YcbZ,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
matp,b0956,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,macrodomain Ter protein,0.6931471805599453,Soufi et al. 2015,BW25113,1.6208127071044376e-05
ompa,b0957,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,outer membrane protein A,0.6931471805599453,Soufi et al. 2015,BW25113,0.016922477392142015
yccf,b0961,M9_glucose,poorly characterized,function unknown,S,PF03733 family inner membrane protein YccF,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
held,b0962,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,DNA helicase IV,0.6931471805599453,Soufi et al. 2015,BW25113,7.402288025170293e-05
mgsa,b0963,M9_glucose,metabolism,carbohydrate transport and metabolism,G,methylglyoxal synthase,0.6931471805599453,Soufi et al. 2015,BW25113,5.3753382919638616e-05
yccu,b0965,M9_glucose,poorly characterized,general function prediction only,R,putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain,0.6931471805599453,Soufi et al. 2015,BW25113,0.00017149149217224037
rlmi,b0967,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA m5C1962 methyltransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00010853685018893731
yccx,b0968,M9_glucose,metabolism,energy production and conversion,C,acylphosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
tuse,b0969,M9_glucose,metabolism,inorganic ion transport and metabolism,P,sulfur transfer protein TusE,0.6931471805599453,Soufi et al. 2015,BW25113,1.886416851112256e-05
ycca,b0970,M9_glucose,poorly characterized,general function prediction only,R,modulator of FtsH protease,0.6931471805599453,Soufi et al. 2015,BW25113,0.00021994897032594273
etk,b0981,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,protein-tyrosine kinase Etk,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
gfce,b0983,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,putative exopolysaccharide export lipoprotein GfcE,0.6931471805599453,Soufi et al. 2015,BW25113,4.101554461300347e-06
cspg,b0990,M9_glucose,information storage and processing,transcription,K,cold shock protein CspG,0.6931471805599453,Soufi et al. 2015,BW25113,2.827370910304297e-06
cbpa,b1000,M9_glucose,Not Assigned,Not Assigned,Not Assigned,curved DNA-binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.00010260809821538314
yccj,b1003,M9_glucose,Not Assigned,Not Assigned,Not Assigned,PF13993 family protein YccJ,0.6931471805599453,Soufi et al. 2015,BW25113,6.019204304228993e-05
wrba,b1004,M9_glucose,metabolism,energy production and conversion,C,NAD(P)H:quinone oxidoreductase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00027354064417158355
ruta,b1012,M9_glucose,poorly characterized,general function prediction only,R,pyrimidine oxygenase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
rutr,b1013,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator RutR,0.6931471805599453,Soufi et al. 2015,BW25113,5.180367441297828e-06
puta,b1014,M9_glucose,metabolism,amino acid transport and metabolism,E,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,0.6931471805599453,Soufi et al. 2015,BW25113,8.759846197819742e-05
putp,b1015,M9_glucose,metabolism,amino acid transport and metabolism,E,proline:Na+ symporter,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
efeo,b1018,M9_glucose,metabolism,inorganic ion transport and metabolism,P,ferrous iron transport system protein EfeO,0.6931471805599453,Soufi et al. 2015,BW25113,0.0006242801052838374
efeb,b1019,M9_glucose,metabolism,inorganic ion transport and metabolism,P,heme-containing peroxidase/deferrochelatase,0.6931471805599453,Soufi et al. 2015,BW25113,2.512414852730405e-05
phoh,b1020,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,ATP-binding protein PhoH,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
ghra,b1033,M9_glucose,poorly characterized,general function prediction only,R,glyoxylate/hydroxypyruvate reductase A,0.6931471805599453,Soufi et al. 2015,BW25113,4.572794116941369e-05
ycdx,b1034,M9_glucose,metabolism,amino acid transport and metabolism,E,zinc-binding phosphatase YcdX,0.6931471805599453,Soufi et al. 2015,BW25113,8.666081603119104e-05
ycdy,b1035,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,chaperone protein YcdY,0.6931471805599453,Soufi et al. 2015,BW25113,0.0008810528626277679
csgg,b1037,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,curli secretion channel,0.6931471805599453,Soufi et al. 2015,BW25113,4.720327634161714e-05
csgf,b1038,M9_glucose,Not Assigned,Not Assigned,Not Assigned,curli assembly component,0.6931471805599453,Soufi et al. 2015,BW25113,0.0
csgd,b1040,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional dual regulator CsgD,0.6931471805599453,Soufi et al. 2015,BW25113,1.5166584676627288e-06
ymdb,b1045,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,"2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity",0.6931471805599453,Soufi et al. 2015,BW25113,9.462734874322348e-05
opgh,b1049,M9_glucose,metabolism,carbohydrate transport and metabolism,G,osmoregulated periplasmic glucans (OPGs) biosynthesis protein H,0.6931471805599453,Soufi et al. 2015,BW25113,0.00019724843893464763
trho,b1055,M9_glucose,poorly characterized,general function prediction only,R,tRNA U34 hydroxylase TrhO,0.6931471805599453,Soufi et al. 2015,BW25113,1.3738780269168299e-05
ycei,b1056,M9_glucose,poorly characterized,general function prediction only,R,protein YceI,0.6931471805599453,Soufi et al. 2015,BW25113,0.00015485396994901603
sola,b1059,M9_glucose,metabolism,amino acid transport and metabolism,E,SARCOX-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.00026182903101051847
pyrc,b1062,M9_glucose,metabolism,nucleotide transport and metabolism,F,dihydroorotase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0016105912156295283
yceb,b1063,M9_glucose,Not Assigned,Not Assigned,Not Assigned,putative lipid-binding lipoprotein YceB,0.6931471805599453,Soufi et al. 2015,BW25113,3.722885831205049e-05
grxb,b1064,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,"oxidized glutaredoxin 2 // ""reduced glutaredoxin 2""",0.6931471805599453,Soufi et al. 2015,BW25113,0.0006622197431876193
rimj,b1066,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,EG10851-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,1.8477217704792646e-05
yceh,b1067,M9_glucose,poorly characterized,function unknown,S,DUF480 domain-containing protein YceH,0.6931471805599453,Soufi et al. 2015,BW25113,0.00012566626424051272
ycem,b1068,M9_glucose,poorly characterized,general function prediction only,R,putative oxidoreductase YceM,0.6931471805599453,Soufi et al. 2015,BW25113,3.1345968192632604e-06
flgn,b1070,M9_glucose,cellular processes and signaling,"intracellular trafficking, secretion, and vesicular transport",U,flagellar biosynthesis protein FlgN,0.6931471805599453,Soufi et al. 2015,BW25113,4.054304227758569e-05
flgm,b1071,M9_glucose,information storage and processing,transcription,K,anti-sigma factor for FliA (&sigma;28),0.6931471805599453,Soufi et al. 2015,BW25113,2.1276979870106188e-05
rluc,b1086,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine955/2504/2580 synthase,0.6931471805599453,Soufi et al. 2015,BW25113,6.39782702324024e-05
ycef,b1087,M9_glucose,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,m7GTP pyrophosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00013591133574385582
