gene_name,b_number,condition,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,dataset_name,strain,mass_frac,go_terms,cog_desc
prob,b0242,M9_glucose,metabolism,amino acid transport and metabolism,E,glutamate 5-kinase,0.6931471805599453,Soufi et al. 2015,BW25113,0.000399449270000897,GO:0042803; GO:1901973; GO:0042802; GO:0016740; GO:0016301; GO:0008652; GO:0003723; GO:0055129; GO:0005829; GO:0016310; GO:0005524; GO:0000166; GO:0000287; GO:0004349; GO:0006561; GO:0005737,glutamate 5-kinase (EC 2.7.2.11)
proa,b0243,M9_glucose,metabolism,amino acid transport and metabolism,E,glutamate-5-semialdehyde dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00032387937087011625,GO:0016620; GO:0005515; GO:0042802; GO:0016491; GO:0008652; GO:0055129; GO:0005829; GO:0055114; GO:0050661; GO:0004350; GO:0006561; GO:0005737,glutamate-5-semialdehyde dehydrogenase (EC 1.2.1.41)
mmup,b0260,M9_glucose,metabolism,amino acid transport and metabolism,E,B0260-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,1.0426935416089773e-05,GO:0055085; GO:0022857; GO:0015171; GO:0003333; GO:0006865; GO:0015806; GO:0000100; GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0009086,"S-methylmethionine:proton symporter, AAT family (TC 2.A.3.1.10)"
mmum,b0261,M9_glucose,metabolism,amino acid transport and metabolism,E,MMUM-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,6.919243056068795e-06,GO:0033528; GO:0047150; GO:0008270; GO:0005829; GO:0033477; GO:0006974; GO:0032259; GO:0046872; GO:0016740; GO:0008652; GO:0008168; GO:0008898; GO:0009086,homocysteine S-methyltransferase (EC 2.1.1.10)
yage,b0268,M9_glucose,metabolism,amino acid transport and metabolism,E,CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase,0.6931471805599453,Soufi et al. 2015,BW25113,1.6212488683668923e-05,GO:0061677; GO:0005829; GO:0047440; GO:0046176; GO:0003824; GO:0005737; GO:0042802; GO:0043725; GO:0016829,CP4-6 prophage; predicted lyase/synthase
yagg,b0270,M9_glucose,metabolism,carbohydrate transport and metabolism,G,putative D-xylonate transporter YagG,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0071702; GO:0022857; GO:0008643; GO:0005887; GO:0055085; GO:0006814; GO:0005886; GO:0016021; GO:0016020; GO:0015293,CP4-6 prophage; predicted sugar transporter
yagh,b0271,M9_glucose,metabolism,carbohydrate transport and metabolism,G,CP4-6 prophage; putative xylosidase/arabinosidase,0.6931471805599453,Soufi et al. 2015,BW25113,1.0658100535594574e-05,GO:0000272; GO:0005975; GO:0004553; GO:0045493; GO:0016798; GO:0016787; GO:0008152; GO:0003824; GO:0009044,CP4-6 prophage; predicted xylosidase/arabinosidase
xynr,b0272,M9_glucose,information storage and processing,transcription,K,CP4-6 prophage; DNA-binding transcriptional repressor XynR,0.6931471805599453,Soufi et al. 2015,BW25113,1.882690240130009e-06,GO:0000976; GO:0045892; GO:0003700; GO:0005829; GO:0044010; GO:0006355; GO:0003677; GO:0006351,"transcriptional regulator, IclR family"
intf,b0281,M9_glucose,Not Assigned,Not Assigned,Not Assigned,CP4-6 prophage; putative phage integrase,0.6931471805599453,Soufi et al. 2015,BW25113,7.02371739120867e-06,GO:0044826; GO:0010165; GO:0075713; GO:0046718; GO:0003677; GO:0015074; GO:0006310,Not Assigned
paoc,b0284,M9_glucose,metabolism,energy production and conversion,C,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0047770; GO:0046872; GO:0016491; GO:0006974; GO:0005515; GO:0030288; GO:0016903; GO:0042597; GO:0055114; GO:0030151,"xanthine dehydrogenase, molybdenum binding subunit apoprotein (EC 1.17.1.4)"
ykgm,b0296,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,putative ribosomal protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.00015790797486202185,GO:0005829; GO:0006412; GO:0003735; GO:0034224; GO:0005840,LSU ribosomal protein L31P
inse-1,b0298,M9_glucose,Not Assigned,Not Assigned,Not Assigned,IS3 element protein InsE,0.6931471805599453,Soufi et al. 2015,BW25113,1.3069031220708158e-06,GO:0005829; GO:0032196; GO:0006310; GO:0004803; GO:0003677; GO:0006313,Not Assigned
rclb,b0303,M9_glucose,Not Assigned,Not Assigned,Not Assigned,DUF1471 domain-containing protein RclB,0.6931471805599453,Soufi et al. 2015,BW25113,1.7526201674083827e-06,GO:0005829; GO:1901530; GO:0042597,Not Assigned
rcla,b0304,M9_glucose,metabolism,energy production and conversion,C,putative pyridine nucleotide-disulfide oxidoreductase RclA,0.6931471805599453,Soufi et al. 2015,BW25113,3.848290498116145e-05,GO:0005623; GO:0022900; GO:0009055; GO:0005737; GO:0005829; GO:1901530; GO:0050660; GO:0045454; GO:0016668; GO:0055114; GO:0016491,predicted pyridine nucleotide-disulfide oxidoreductase
ykgg,b0308,M9_glucose,metabolism,energy production and conversion,C,DUF162 domain-containing lactate utilization protein YkgG,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0004459; GO:0005829,predicted transporter
beta,b0311,M9_glucose,poorly characterized,general function prediction only,R,choline dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0005829; GO:0008802; GO:0016614; GO:0016491; GO:0050660; GO:0055114; GO:0005886; GO:0019285; GO:0016020; GO:0008812; GO:0006970,choline dehydrogenase (EC 1.1.99.1)
betb,b0312,M9_glucose,metabolism,energy production and conversion,C,betaine aldehyde dehydrogenase,0.6931471805599453,Soufi et al. 2015,BW25113,9.587039723978569e-05,GO:0016620; GO:0004029; GO:0032991; GO:0010165; GO:0042802; GO:0005829; GO:0046872; GO:0016491; GO:0055114; GO:0019285; GO:0008802; GO:0006970,betaine aldehyde dehydrogenase (EC 1.2.1.8)
bett,b0314,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,BETT-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0071705; GO:0055085; GO:0022857; GO:0005887; GO:0015220; GO:0015871; GO:0019285; GO:0006974; GO:0005886; GO:0016021; GO:0016020,choline transporter of high affinity
pdel,b0315,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0046872; GO:0000984; GO:0045893; GO:0042803; GO:0016787; GO:0006355; GO:0071111; GO:0003677,c-di-GMP-specific phosphodiesterase
yahd,b0318,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,ankyrin repeat-containing protein YahD,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0009314; GO:0005829,ankyrin repeat protein
yahj,b0324,M9_glucose,poorly characterized,general function prediction only,R,putative deaminase with metallo-dependent hydrolase domain,0.6931471805599453,Soufi et al. 2015,BW25113,7.55472119167806e-05,GO:0005829; GO:0016810,predicted deaminase with metallo-dependent hydrolase domain
yahk,b0325,M9_glucose,metabolism,carbohydrate transport and metabolism,G,"aldehyde reductase, NADPH-dependent",0.6931471805599453,Soufi et al. 2015,BW25113,0.0004919127357808578,GO:0016616; GO:0008270; GO:0008106; GO:0055114; GO:0046872; GO:0016491,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"
yaho,b0329,M9_glucose,Not Assigned,Not Assigned,Not Assigned,DUF1471 domain-containing protein YahO,0.6931471805599453,Soufi et al. 2015,BW25113,0.00014250026005975332,GO:0009314; GO:0042597,Not Assigned
codb,b0336,M9_glucose,metabolism,nucleotide transport and metabolism,F,CODB-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,8.860840102163928e-06,GO:1902600; GO:0022857; GO:0055085; GO:0015856; GO:0015209; GO:0015295; GO:0005887; GO:0005886; GO:0019858; GO:0016021; GO:0016020,cytosine transporter
coda,b0337,M9_glucose,poorly characterized,general function prediction only,R,cytosine/isoguanine deaminase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007274019275988883,GO:0102480; GO:0042802; GO:0046872; GO:0019858; GO:0016810; GO:0016787; GO:0035888; GO:0008270; GO:0008198; GO:0006209; GO:0005829; GO:0004131,cytosine deaminase
laci,b0345,M9_glucose,information storage and processing,transcription,K,DNA-binding transcriptional repressor LacI,0.6931471805599453,Soufi et al. 2015,BW25113,6.126096107230173e-05,GO:0042802; GO:0000986; GO:0001217; GO:0045892; GO:0006355; GO:0005829; GO:0003677,"transcriptional regulator, LacI family"
mhpf,b0351,M9_glucose,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,acetaldehyde dehydrogenase (acetylating) MhpF,0.6931471805599453,Soufi et al. 2015,BW25113,7.183911721532558e-06,GO:0016620; GO:0016491; GO:0051287; GO:0019380; GO:0005515; GO:0005829; GO:0055114; GO:0019439; GO:0008774,acetaldehyde dehydrogenase (EC 1.2.1.10)
mhpe,b0352,M9_glucose,metabolism,amino acid transport and metabolism,E,MHPELY-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0030145; GO:0005829; GO:0016833; GO:0016829; GO:0003824; GO:0019380; GO:0005515; GO:0046872; GO:0008701; GO:0019439,4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)
yail,b0354,M9_glucose,poorly characterized,function unknown,S,DUF2058 domain-containing protein YaiL,0.6931471805599453,Soufi et al. 2015,BW25113,4.8866488372935065e-05,GO:0005829,predicted protein
frmb,b0355,M9_glucose,cellular processes and signaling,defense mechanisms,V,S-formylglutathione hydrolase FrmB,0.6931471805599453,Soufi et al. 2015,BW25113,6.587729073067028e-06,GO:0052689; GO:0005829; GO:0016787; GO:0046294; GO:0046292; GO:0018738,S-formylglutathione hydrolase
insc-1,b0360,M9_glucose,cellular processes and signaling,"mobilome: prophages, transposons",X,IS2 element protein InsA,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0005829; GO:0006313; GO:0006310; GO:0004803; GO:0003677; GO:0032196,IS2 repressor TnpA
taua,b0365,M9_glucose,metabolism,inorganic ion transport and metabolism,P,taurine ABC transporter periplasmic binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0055085; GO:0043190; GO:0022857; GO:0030288; GO:0009970; GO:0015734; GO:0042597,taurine transporter subunit
hemb,b0369,M9_glucose,metabolism,coenzyme transport and metabolism,H,porphobilinogen synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.000441502057220129,GO:0000287; GO:0033014; GO:0016829; GO:0008152; GO:0006779; GO:0003824; GO:0008270; GO:0042802; GO:0006782; GO:0006783; GO:0005829; GO:0046872; GO:0004655,porphobilinogen synthase (EC 4.2.1.24)
sbma,b0377,M9_glucose,metabolism,lipid transport and metabolism,I,peptide antibiotic/peptide nucleic acid transporter,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0055085; GO:0005524; GO:0015291; GO:1901998; GO:0019534; GO:1904680; GO:0042803; GO:0042884; GO:0046677; GO:0005887; GO:0015833; GO:0015031; GO:0042885; GO:0015638; GO:0005886; GO:0016021; GO:0016020,microcin B17 transporter
yaiw,b0378,M9_glucose,Not Assigned,Not Assigned,Not Assigned,surface-exposed outer membrane lipoprotein,0.6931471805599453,Soufi et al. 2015,BW25113,6.06974557426535e-06,GO:0005829; GO:1901652; GO:0031240; GO:0006351,Not Assigned
ddla,b0381,M9_glucose,poorly characterized,general function prediction only,R,D-alanine&mdash;D-alanine ligase A,0.6931471805599453,Soufi et al. 2015,BW25113,9.871567580335821e-05,GO:0010165; GO:0071555; GO:0016874; GO:0005829; GO:0000166; GO:0046872; GO:0008360; GO:0005524; GO:0008716; GO:0009252; GO:0005737,D-alanine--D-alanine ligase (EC 6.3.2.4)
irap,b0382,M9_glucose,Not Assigned,Not Assigned,Not Assigned,anti-adaptor protein for &sigma;S stabilization,0.6931471805599453,Soufi et al. 2015,BW25113,9.17851460750265e-05,GO:0009267; GO:0045893; GO:0005829; GO:0005737; GO:0043856; GO:0042177; GO:0005515; GO:0016036,Not Assigned
phoa,b0383,M9_glucose,metabolism,inorganic ion transport and metabolism,P,alkaline phosphatase,0.6931471805599453,Soufi et al. 2015,BW25113,3.94727918358641e-06,GO:0006470; GO:0004721; GO:0055114; GO:0046872; GO:0016791; GO:0016787; GO:0003824; GO:0030288; GO:0030613; GO:0033748; GO:0016311; GO:0042597; GO:0008270; GO:0005515; GO:0000287; GO:0004035,alkaline phosphatase (EC 3.1.3.1)
psif,b0384,M9_glucose,Not Assigned,Not Assigned,Not Assigned,PsiF family protein,0.6931471805599453,Soufi et al. 2015,BW25113,7.464297168779806e-06,no ontology,Not Assigned
proc,b0386,M9_glucose,metabolism,amino acid transport and metabolism,E,pyrroline-5-carboxylate reductase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00038475696558681037,GO:0042802; GO:0016491; GO:0055129; GO:0005829; GO:0008652; GO:0055114; GO:0004735; GO:0005737; GO:0006561,pyrroline-5-carboxylate reductase (EC 1.5.1.2)
yaii,b0387,M9_glucose,poorly characterized,function unknown,S,DUF188 domain-containing protein YaiI,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0005515,"conserved protein, UPF0178 family, downregulated by beryllium"
yaia,b0389,M9_glucose,Not Assigned,Not Assigned,Not Assigned,protein YaiA,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,no ontology,Not Assigned
ppnp,b0391,M9_glucose,poorly characterized,function unknown,S,nucleoside phosphorylase PpnP,0.6931471805599453,Soufi et al. 2015,BW25113,0.0002799237091442007,GO:0047975; GO:0016757; GO:0016740; GO:0009032; GO:0004850; GO:0016154; GO:0004731; GO:0005829,"conserved protein, UPF0345 family"
rdgc,b0393,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,nucleoid-associated protein RdgC,0.6931471805599453,Soufi et al. 2015,BW25113,0.00013811273428737347,GO:0009295; GO:0005829; GO:0043590; GO:0003690; GO:0003697; GO:0000018; GO:0006310; GO:0005737,nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function
mak,b0394,M9_glucose,information storage and processing,transcription,K,fructokinase,0.6931471805599453,Soufi et al. 2015,BW25113,9.737420518102932e-05,GO:0019318; GO:0004396; GO:0019158; GO:0046835; GO:0005829; GO:0016310; GO:0000166; GO:0005524; GO:0016740; GO:0016301; GO:0005975; GO:0008865,N-acetylglucosamine kinase (EC 2.7.1.59)
sbcc,b0397,M9_glucose,information storage and processing,"Replication, recombination, and repair",L,"ATP dependent, structure specific DNA nuclease - SbcC subunit",0.6931471805599453,Soufi et al. 2015,BW25113,1.2156049223266937e-05,GO:0006274; GO:1990238; GO:0004529; GO:0000014; GO:0090305; GO:0005515; GO:0016787; GO:0006310; GO:0006281; GO:0004527; GO:0004518; GO:0005829; GO:0008296; GO:0006260; GO:0005524; GO:0004519; GO:0000166,"exonuclease, dsDNA, ATP-dependent"
phor,b0400,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,sensor histidine kinase PhoR,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0005887; GO:0005829; GO:0000160; GO:0005515; GO:0006470; GO:0023014; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0016020; GO:0007165; GO:0004673; GO:0006355; GO:0006817; GO:0046777; GO:0016036; GO:0004721; GO:0000166; GO:0005886; GO:0016021; GO:0005524; GO:0000155,PAS/PAC sensor signal transduction histidine kinase (EC 2.7.13.3)
brnq,b0401,M9_glucose,metabolism,amino acid transport and metabolism,E,branched chain amino acid transporter BrnQ,0.6931471805599453,Soufi et al. 2015,BW25113,6.591606703861492e-05,GO:0098655; GO:1903785; GO:1902475; GO:0005515; GO:0016020; GO:0015803; GO:0015658; GO:0006865; GO:0015190; GO:0015188; GO:0005304; GO:0015829; GO:0015820; GO:0015818; GO:0005886; GO:0016021,"Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val"
quea,b0405,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,EG10812-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,3.178056884460747e-05,GO:0009314; GO:0016853; GO:0016740; GO:0005829; GO:0002099; GO:0051075; GO:0008616; GO:0005737,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
tgt,b0406,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,tRNA-guanine transglycosylase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0002071898750982693,GO:0101030; GO:0016763; GO:0046872; GO:0016757; GO:0016740; GO:0008033; GO:0006400; GO:0005829; GO:0002099; GO:0008616; GO:0008479; GO:0008270,tRNA-guanine transglycosylase (EC 2.4.2.29)
yajc,b0407,M9_glucose,cellular processes and signaling,"intracellular trafficking, secretion, and vesicular transport",U,Sec translocon accessory complex subunit YajC,0.6931471805599453,Soufi et al. 2015,BW25113,0.0006892359299267059,GO:0005515; GO:0015031; GO:0016021; GO:0016020; GO:0005886; GO:0005887; GO:0031522,protein translocase subunit yajC
secd,b0408,M9_glucose,cellular processes and signaling,"intracellular trafficking, secretion, and vesicular transport",U,Sec translocon accessory complex subunit SecD,0.6931471805599453,Soufi et al. 2015,BW25113,0.0002267599337504187,GO:0065002; GO:0043952; GO:0006605; GO:0005515; GO:0015450; GO:0006886; GO:0005886; GO:0016021; GO:0016020; GO:0015031,SecYEG protein translocase auxillary subunit
secf,b0409,M9_glucose,cellular processes and signaling,"intracellular trafficking, secretion, and vesicular transport",U,Sec translocon accessory complex subunit SecF,0.6931471805599453,Soufi et al. 2015,BW25113,4.9834435607335424e-05,GO:0065002; GO:0043952; GO:0006605; GO:0015450; GO:0006886; GO:0005886; GO:0016021; GO:0016020; GO:0015031,protein translocase subunit secF
yajd,b0410,M9_glucose,Not Assigned,Not Assigned,Not Assigned,HNH nuclease family protein YajD,0.6931471805599453,Soufi et al. 2015,BW25113,1.7785985287261242e-06,GO:0016787; GO:0004518; GO:0090305; GO:0005829; GO:0004519; GO:0003676,Not Assigned
tsx,b0411,M9_glucose,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,nucleoside-specific channel-forming protein Tsx,0.6931471805599453,Soufi et al. 2015,BW25113,0.0005303994884404382,GO:1901642; GO:0055085; GO:0016021; GO:0016020; GO:0015288; GO:0005337; GO:0015858; GO:0015471; GO:0046930; GO:0046718; GO:0006811; GO:0009279,"nucleoside channel, receptor of phage T6 and colicin K"
yaji,b0412,M9_glucose,Not Assigned,Not Assigned,Not Assigned,putative lipoprotein YajI,0.6931471805599453,Soufi et al. 2015,BW25113,2.683413821422844e-06,GO:0030288; GO:0005886; GO:0016020,Not Assigned
nrdr,b0413,M9_glucose,information storage and processing,transcription,K,NrdR transcriptional repressor,0.6931471805599453,Soufi et al. 2015,BW25113,1.468104403624519e-05,GO:0005829; GO:0003677; GO:0008270; GO:0046872; GO:0005524; GO:0000166; GO:0003690; GO:0045892,conserved protein
ribd,b0414,M9_glucose,metabolism,coenzyme transport and metabolism,H,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,0.6931471805599453,Soufi et al. 2015,BW25113,3.9725486737006965e-05,GO:0005515; GO:0005829; GO:0016787; GO:0016491; GO:0008152; GO:0003824; GO:0008270; GO:0055114; GO:0050661; GO:0046872; GO:0009231; GO:0008835; GO:0008703,5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)/diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)
ribe,b0415,M9_glucose,metabolism,coenzyme transport and metabolism,H,"6,7-dimethyl-8-ribityllumazine synthase",0.6931471805599453,Soufi et al. 2015,BW25113,0.00024341732964275556,GO:0005829; GO:0016740; GO:0009231; GO:0004746,riboflavin synthase alpha chain (EC 2.5.1.9)
nusb,b0416,M9_glucose,information storage and processing,transcription,K,transcription antitermination protein NusB,0.6931471805599453,Soufi et al. 2015,BW25113,0.00013825867538409613,GO:0031564; GO:0006355; GO:0005829; GO:0005515; GO:0006353; GO:0003723,NusB antitermination factor
thil,b0417,M9_glucose,metabolism,coenzyme transport and metabolism,H,thiamine monophosphate kinase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0005829; GO:0016740; GO:0016301; GO:0000287; GO:0046872; GO:0009229; GO:0016310; GO:0005524; GO:0000166; GO:0009030; GO:0009228,thiamine-phosphate kinase
yajo,b0419,M9_glucose,poorly characterized,general function prediction only,R,1-deoxyxylulose-5-phosphate synthase YajO,0.6931471805599453,Soufi et al. 2015,BW25113,0.000257243877905713,GO:1902767; GO:0005829; GO:0006772; GO:0055114; GO:0016491,"2-carboxybenzaldehyde reductase, function unknown"
dxs,b0420,M9_glucose,metabolism,coenzyme transport and metabolism,H,1-deoxy-D-xylulose-5-phosphate synthase,0.6931471805599453,Soufi et al. 2015,BW25113,0.0003542855025865878,GO:0000287; GO:0019288; GO:0042803; GO:0016740; GO:0003824; GO:0016114; GO:0052865; GO:0046872; GO:0005829; GO:0030976; GO:0008299; GO:0008661; GO:0006744; GO:0008615; GO:0009228,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7)
ispa,b0421,M9_glucose,metabolism,coenzyme transport and metabolism,H,geranyl diphosphate/farnesyl diphosphate synthase,0.6931471805599453,Soufi et al. 2015,BW25113,3.101523840531747e-05,GO:0005515; GO:0016740; GO:0008299; GO:0005829; GO:0046872; GO:0033384; GO:0004337; GO:0004161; GO:0005737; GO:0045337,farnesyl-diphosphate synthase (EC 2.5.1.10)
thii,b0423,M9_glucose,information storage and processing,"translation, ribosomal structure and biogenesis",J,tRNA uridine 4-sulfurtransferase,0.6931471805599453,Soufi et al. 2015,BW25113,0.00017209427104481498,GO:0004810; GO:0005829; GO:0034227; GO:0016783; GO:0002937; GO:0052837; GO:0009229; GO:0016740; GO:0005524; GO:0000166; GO:0000049; GO:0005737; GO:0003723; GO:0009228,[ThiS-adenylate] sulfurtransferase
yajl,b0424,M9_glucose,poorly characterized,general function prediction only,R,protein/nucleic acid deglycase 3,0.6931471805599453,Soufi et al. 2015,BW25113,0.00013521425191322296,GO:0106046; GO:0036529; GO:0006974; GO:0006281; GO:0036525; GO:0036524; GO:0030091; GO:0016787; GO:0005829; GO:0009408; GO:0042803; GO:0042254; GO:0034599; GO:0042026,"conserved protein, PfpI/HchA protease/chaperone family"
yajq,b0426,M9_glucose,poorly characterized,function unknown,S,nucleotide binding protein,0.6931471805599453,Soufi et al. 2015,BW25113,0.0015150601150664739,GO:0005829; GO:0006974; GO:0005525; GO:0005524; GO:0000049; GO:0000166; GO:0005515,Phi6 host factor; binds ATP and GTP
yajr,b0427,M9_glucose,metabolism,carbohydrate transport and metabolism,G,putative transport protein YajR,0.6931471805599453,Soufi et al. 2015,BW25113,1.2798809246604988e-06,GO:0005887; GO:0055085; GO:0005886; GO:0016021; GO:0016020,predicted transporter
cyoe,b0428,M9_glucose,metabolism,coenzyme transport and metabolism,H,HEMEOSYN-MONOMER,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0045333; GO:0016765; GO:0016740; GO:0016020; GO:0006783; GO:0048034; GO:0005886; GO:0016021; GO:0008495,protoheme IX farnesyltransferase
cyod,b0429,M9_glucose,metabolism,energy production and conversion,C,cytochrome bo3 ubiquinol oxidase subunit 4,0.6931471805599453,Soufi et al. 2015,BW25113,0.0,GO:0005515; GO:0005887; GO:0009060; GO:0055114; GO:0016491; GO:0016020; GO:0008827; GO:0009319; GO:0015990; GO:0015078; GO:0015453; GO:0019646; GO:0005886; GO:0009486; GO:0016021; GO:0009055,cytochrome bo3 quinol oxidase subunit 4 (EC 1.10.3.-)
cyoc,b0430,M9_glucose,metabolism,energy production and conversion,C,cytochrome bo3 ubiquinol oxidase subunit 3,0.6931471805599453,Soufi et al. 2015,BW25113,3.860769874114906e-05,GO:0008827; GO:0004129; GO:0005887; GO:0005515; GO:0009060; GO:0055114; GO:0022904; GO:0016491; GO:0016021; GO:0016020; GO:0015002; GO:0009319; GO:0015990; GO:0015078; GO:0019646; GO:0005886; GO:0009486; GO:0009055; GO:0015453,cytochrome bo3 quinol oxidase subunit 3 (EC 1.10.3.-)
cyob,b0431,M9_glucose,metabolism,energy production and conversion,C,cytochrome bo3 ubiquinol oxidase subunit 1,0.6931471805599453,Soufi et al. 2015,BW25113,0.0007264305133499583,GO:0004129; GO:0005515; GO:0055114; GO:0046872; GO:0016021; GO:0016020; GO:0009060; GO:0006811; GO:0005886; GO:0016682; GO:0070469; GO:0009319; GO:0015990; GO:0015078; GO:0048039; GO:0019646; GO:0005887; GO:0009486; GO:0020037; GO:0005507; GO:0009055; GO:0015453,cytochrome bo3 quinol oxidase subunit 1 apoprotein (EC 1.10.3.-)
cyoa,b0432,M9_glucose,metabolism,energy production and conversion,C,cytochrome bo3 ubiquinol oxidase subunit 2,0.6931471805599453,Soufi et al. 2015,BW25113,0.0006017873276285041,GO:0042773; GO:0008827; GO:0005507; GO:0004129; GO:0071575; GO:0009060; GO:0015990; GO:0055114; GO:0022900; GO:0016491; GO:0016021; GO:0016020; GO:0005886; GO:0016682; GO:0009319; GO:0019646; GO:0070469; GO:0005887; GO:0015078; GO:0009486; GO:0009055; GO:0015453,cytochrome bo3 quinol oxidase subunit 2 (EC 1.10.3.-)
yajg,b0434,M9_glucose,poorly characterized,function unknown,S,putative lipoprotein YajG,0.6931471805599453,Soufi et al. 2015,BW25113,0.0004541314219650044,GO:0005886; GO:0016020,predicted lipoprotein
bola,b0435,M9_glucose,cellular processes and signaling,signal transduction mechanisms,T,DNA-binding transcriptional dual regulator BolA,0.6931471805599453,Soufi et al. 2015,BW25113,9.232087499280523e-05,GO:0005829; GO:0005515; GO:0003677; GO:0006351,"transcriptional regulator, BolA protein family"
tig,b0436,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,trigger factor,0.6931471805599453,Soufi et al. 2015,BW25113,0.0039809083736968435,GO:0000413; GO:0043335; GO:0061077; GO:0009408; GO:0016853; GO:0006457; GO:0005737; GO:0042802; GO:0015031; GO:0051301; GO:0043022; GO:0044183; GO:0065003; GO:0007049; GO:0005829; GO:0051083; GO:0005515; GO:0003755,peptidyl-prolyl cis/trans isomerase (trigger factor)
clpp,b0437,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,ATP-dependent Clp protease proteolytic subunit,0.6931471805599453,Soufi et al. 2015,BW25113,0.0010790435304256002,GO:0009368; GO:0051117; GO:0009376; GO:0009314; GO:0010498; GO:0004176; GO:0005515; GO:0042802; GO:0016787; GO:0008233; GO:0006508; GO:0005737; GO:0004252; GO:0009408; GO:0006515; GO:0008236; GO:0009266,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
clpx,b0438,M9_glucose,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,ATP-dependent Clp protease ATP-binding subunit ClpX,0.6931471805599453,Soufi et al. 2015,BW25113,0.000710712320634953,GO:0005759; GO:0005515; GO:0097718; GO:0030164; GO:0030163; GO:0009376; GO:0002020; GO:0043335; GO:0016887; GO:0006508; GO:0016032; GO:0051301; GO:0042802; GO:0004176; GO:0000166; GO:0051082; GO:0046983; GO:0008270; GO:0006457; GO:0005829; GO:0046872; GO:0005524,ATP-dependent Clp protease ATP-binding subunit ClpX (EC 3.4.21.92)
